=== viewer launch 1 at 23:07:03
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

5070 frames  50.2 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.6 ms   
5100 frames  50.2 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.5 ms   
5130 frames  50.3 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.5 ms   
5160 frames  50.3 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.5 ms   
5190 frames  50.3 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.5 ms   
5220 frames  50.3 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.5 ms   
5250 frames  50.4 fps  33 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.4 ms   
5280 frames  50.4 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.2 ms  console 17.4 ms   
5310 frames  50.5 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.4 ms   
5340 frames  50.5 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.3 ms   
5370 frames  50.6 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.3 ms   
5400 frames  50.6 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.2 ms   
5430 frames  50.7 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.2 ms   
5460 frames  50.7 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.2 ms   
5490 frames  50.8 fps  32 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.1 ms   
5520 frames  50.8 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.1 ms   
5550 frames  50.8 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.1 ms  console 17.0 ms   
5580 frames  50.9 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 17.0 ms   
5610 frames  50.9 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.9 ms   
5640 frames  51.0 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.9 ms   
5670 frames  51.0 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.9 ms   
5700 frames  51.0 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.8 ms   
5730 frames  51.1 fps  31 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.8 ms   
5760 frames  51.1 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.7 ms   
5790 frames  51.2 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.7 ms   
5820 frames  51.2 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 20.0 ms  console 16.7 ms   
5850 frames  51.2 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.6 ms   
5880 frames  51.3 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.6 ms   
5910 frames  51.3 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.5 ms   
5940 frames  51.4 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.5 ms   
5970 frames  51.4 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.5 ms   
6000 frames  51.4 fps  30 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.4 ms   
6030 frames  51.5 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.4 ms   
6060 frames  51.5 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.3 ms   
6090 frames  51.5 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.3 ms   
6120 frames  51.6 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.3 ms   
6150 frames  51.6 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.9 ms  console 16.2 ms   
6180 frames  51.6 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.2 ms   
6210 frames  51.7 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.2 ms   
6240 frames  51.7 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.1 ms   
6270 frames  51.7 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.1 ms   
6300 frames  51.8 fps  29 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.1 ms   
6330 frames  51.8 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.0 ms   
6360 frames  51.8 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.0 ms   
6390 frames  51.9 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 16.0 ms   
6420 frames  51.9 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 15.9 ms   
6450 frames  51.9 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 15.9 ms   
6480 frames  52.0 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 15.9 ms   
6510 frames  52.0 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 15.8 ms   
6540 frames  52.0 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.8 ms  console 15.8 ms   
6570 frames  52.1 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.8 ms   
6600 frames  52.1 fps  28 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.7 ms   
6630 frames  52.1 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.7 ms   
6660 frames  52.2 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.7 ms   
6690 frames  52.2 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.7 ms   
6720 frames  52.2 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
6750 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
6780 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
6810 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.5 ms   
6840 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.5 ms   
6870 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
6900 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
6930 frames  52.3 fps  27 Mbps  worst gap 13748.0 ms  0 lost  pc 19.7 ms  console 15.6 ms   
