=== viewer launch 1 at 23:39:48
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

5670 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.7 ms   
5700 frames  58.6 fps  44 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.7 ms   
5730 frames  58.6 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.7 ms   
5760 frames  58.6 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.7 ms   
5790 frames  58.6 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5820 frames  58.6 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5850 frames  58.6 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5880 frames  58.7 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5910 frames  58.7 fps  45 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5940 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
5970 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
6000 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
6030 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.7 ms   
6060 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.8 ms   
6090 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.8 ms   
6120 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.8 ms   
6150 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.8 ms   
6180 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.6 ms  console 18.8 ms   
6210 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6240 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6270 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6300 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6330 frames  58.7 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6360 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6390 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6420 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6450 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6480 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6510 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6540 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6570 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6600 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6630 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6660 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6690 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
6720 frames  58.8 fps  46 Mbps  worst gap 279.9 ms  0 lost  pc 20.5 ms  console 18.8 ms   
