=== viewer launch 1 at 23:50:58
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

4110 frames  58.2 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
4140 frames  58.2 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.0 ms  console 17.4 ms   
4170 frames  58.2 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4200 frames  58.2 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4230 frames  58.2 fps  44 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4260 frames  58.2 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4290 frames  58.2 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4320 frames  58.2 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4350 frames  58.3 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4380 frames  58.3 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4410 frames  58.3 fps  45 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.4 ms   
4440 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4470 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4500 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4530 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4560 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4590 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4620 frames  58.3 fps  46 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4650 frames  58.3 fps  47 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4680 frames  58.3 fps  47 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.5 ms   
4710 frames  58.4 fps  47 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.6 ms   
4740 frames  58.4 fps  47 Mbps  worst gap 232.3 ms  0 lost  pc 21.1 ms  console 17.6 ms   
4770 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4800 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4830 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4860 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4890 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4920 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4950 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
4980 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5010 frames  58.4 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5040 frames  58.5 fps  48 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5070 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5100 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5130 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5160 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5190 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5220 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5250 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.5 ms   
5280 frames  58.5 fps  49 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.5 ms   
5310 frames  58.5 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.5 ms   
5340 frames  58.5 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.5 ms   
5370 frames  58.5 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.5 ms   
5400 frames  58.6 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5430 frames  58.6 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5460 frames  58.6 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5490 frames  58.6 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.6 ms   
5520 frames  58.4 fps  50 Mbps  worst gap 232.3 ms  0 lost  pc 21.2 ms  console 17.8 ms   
new stream session 2 (the console reattached)

5550 frames  49.1 fps  41 Mbps  worst gap 16884.2 ms  0 lost  pc 21.4 ms  console 21.1 ms   
5580 frames  48.9 fps  41 Mbps  worst gap 16884.2 ms  0 lost  pc 21.5 ms  console 21.0 ms   
5610 frames  48.8 fps  41 Mbps  worst gap 16884.2 ms  0 lost  pc 21.6 ms  console 20.9 ms   
5640 frames  48.6 fps  40 Mbps  worst gap 16884.2 ms  0 lost  pc 21.6 ms  console 20.9 ms   
5670 frames  48.5 fps  40 Mbps  worst gap 16884.2 ms  0 lost  pc 21.7 ms  console 20.8 ms   
5700 frames  48.3 fps  40 Mbps  worst gap 16884.2 ms  0 lost  pc 21.8 ms  console 20.7 ms   
5730 frames  48.1 fps  39 Mbps  worst gap 16884.2 ms  0 lost  pc 21.9 ms  console 20.6 ms   
5760 frames  48.0 fps  39 Mbps  worst gap 16884.2 ms  0 lost  pc 21.9 ms  console 20.6 ms   
5790 frames  47.8 fps  39 Mbps  worst gap 16884.2 ms  0 lost  pc 22.0 ms  console 20.5 ms   
5820 frames  47.7 fps  38 Mbps  worst gap 16884.2 ms  0 lost  pc 22.1 ms  console 20.4 ms   
5850 frames  47.6 fps  38 Mbps  worst gap 16884.2 ms  0 lost  pc 22.1 ms  console 20.4 ms   
5880 frames  47.4 fps  38 Mbps  worst gap 16884.2 ms  0 lost  pc 22.2 ms  console 20.3 ms   
5910 frames  47.3 fps  38 Mbps  worst gap 16884.2 ms  0 lost  pc 22.2 ms  console 20.3 ms   
5940 frames  47.1 fps  37 Mbps  worst gap 16884.2 ms  0 lost  pc 22.3 ms  console 20.2 ms   
5970 frames  47.0 fps  37 Mbps  worst gap 16884.2 ms  0 lost  pc 22.4 ms  console 20.2 ms   
6000 frames  46.9 fps  37 Mbps  worst gap 16884.2 ms  0 lost  pc 22.4 ms  console 20.2 ms   
6030 frames  46.7 fps  36 Mbps  worst gap 16884.2 ms  0 lost  pc 22.5 ms  console 20.1 ms   
6060 frames  46.6 fps  36 Mbps  worst gap 16884.2 ms  0 lost  pc 22.6 ms  console 20.1 ms   
6090 frames  46.5 fps  36 Mbps  worst gap 16884.2 ms  0 lost  pc 22.6 ms  console 20.0 ms   
6120 frames  46.3 fps  36 Mbps  worst gap 16884.2 ms  0 lost  pc 22.7 ms  console 20.0 ms   
6150 frames  46.2 fps  35 Mbps  worst gap 16884.2 ms  0 lost  pc 22.7 ms  console 19.9 ms   
6180 frames  46.1 fps  35 Mbps  worst gap 16884.2 ms  0 lost  pc 22.8 ms  console 19.9 ms   
6210 frames  46.0 fps  35 Mbps  worst gap 16884.2 ms  0 lost  pc 22.8 ms  console 19.8 ms   
6240 frames  45.9 fps  35 Mbps  worst gap 16884.2 ms  0 lost  pc 22.9 ms  console 19.8 ms   
6270 frames  45.8 fps  34 Mbps  worst gap 16884.2 ms  0 lost  pc 23.0 ms  console 19.8 ms   
6300 frames  45.6 fps  34 Mbps  worst gap 16884.2 ms  0 lost  pc 23.0 ms  console 19.7 ms   
6330 frames  45.5 fps  34 Mbps  worst gap 16884.2 ms  0 lost  pc 23.1 ms  console 19.7 ms   
6360 frames  45.4 fps  34 Mbps  worst gap 16884.2 ms  0 lost  pc 23.1 ms  console 19.7 ms   
6390 frames  45.3 fps  33 Mbps  worst gap 16884.2 ms  0 lost  pc 23.2 ms  console 19.6 ms   
6420 frames  45.2 fps  33 Mbps  worst gap 16884.2 ms  0 lost  pc 23.2 ms  console 19.6 ms   
