=== viewer launch 1 at 23:27:21
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

3150 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.5 ms  console 10.3 ms   
3180 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.3 ms   
3210 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.3 ms   
3240 frames  58.0 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3270 frames  58.1 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3300 frames  58.1 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3330 frames  58.1 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3360 frames  58.1 fps  20 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3390 frames  58.1 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3420 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.2 ms   
3450 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3480 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3510 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3540 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3570 frames  58.2 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3600 frames  58.1 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3630 frames  58.1 fps  21 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3660 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3690 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.1 ms   
3720 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3750 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3780 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3810 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3840 frames  58.2 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3870 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3900 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3930 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3960 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
3990 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
4020 frames  58.3 fps  22 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 10.0 ms   
4050 frames  58.3 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4080 frames  58.3 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4110 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4140 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4170 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4200 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4230 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4260 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4290 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4320 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4350 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4380 frames  58.4 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4410 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.4 ms  console 9.9 ms   
4440 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.9 ms   
4470 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.9 ms   
4500 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4530 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4560 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4590 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
4620 frames  58.5 fps  23 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.8 ms   
